;level_0;index;ID;Brightness;Colorfulness;Entropy;UniqueColors;Keypoints;Color1R;Color1G;Color1B;Color2R;Color2G;Color2B;Image URL;Title;Author;Sales Rank;Date;Review Score
0;0;0;689871872;0.3936015;30.900.887.522.626.900;7.208.403.999.999.990;55245;0.025003076923076926;35;42;68;117;91;75;http://ecx.images-amazon.com/images/I/51kbkQ35teL.jpg;Althea Gibson: Young Tennis Player (Childhood of Famous Americans);Beatrice Gormley;2642216.0;January 6, 2005;00.00
1;1;1;802774067;0.63139015;9.069.953.559.560.110;7.118.225;123764;0.014360189573459716;188;236;193;208;240;166;http://ecx.images-amazon.com/images/I/51HWF41QecL.jpg;This Place Is High: The Andes Mountains of South America (Imagine Living Here);Vicki Cobb;2230093.0;September 1, 1993;04.00
2;2;2;1442496797;0.52514046;12.203.733.524.301.400;6.843.093;56732;0.018624657534246573;4;185;197;3;90;108;http://ecx.images-amazon.com/images/I/51M%2BHRcUWTL.jpg;The Case of the Weird Blue Chicken: The Next Misadventure (The Chicken Squad);Doreen Cronin;878409.0;September 30, 2014;0.220833333333333
3;3;4;395899257;0.8414091999999999;112.527.854.673.199;39.045.358;43675;0.007875518672199171;252;252;76;252;252;244;http://ecx.images-amazon.com/images/I/51frwULt2iL.jpg;Curious George's ABCs;H. A. Rey;639464.0;March 30, 1998;04.59
4;4;5;1432993003;0.38745272;26.844.075.006.283.500;77.601.557;47033;0.03247058823529412;77;79;91;27;22;21;http://ecx.images-amazon.com/images/I/51Tbq%2BrdSkL.jpg;The Assassination of John F. Kennedy: November 22, 1963 (24-Hour History);Terry Collins;1615778.0;January 1, 2014;05.00
5;5;6;152001921;0.589795;6.473.602.057.914.810;73.951.635;99807;0.031707920792079215;134;152;217;169;178;231;http://ecx.images-amazon.com/images/I/51FufkdDWvL.jpg;Counting Crocodiles;Judy Sierra;3844613.0;October 1, 1997;0.227777777777778
6;6;7;310730953;0.46741703;6.050.208.836.341.320;77.344.550.000.000.000;77720;0.03522693266832918;74;89;154;180;161;136;http://ecx.images-amazon.com/images/I/61RXLmOTojL.jpg;Our Presidents Rock!;Juliette Turner;194747.0;September 30, 2014;04.08
7;7;8;1467702137;0.43491766;7.106.826.421.965.880;7.615.005;113505;0.024167064439140813;146;95;52;181;149;48;http://ecx.images-amazon.com/images/I/51GqhhAxkOL.jpg;Dino-Boarding (Carolrhoda Picture Books) (Junior Library Guild Selection);Lisa Wheeler;264657.0;September 1, 2014;0.217361111111111
8;8;9;1550749536;0.39663586;8.422.558.944.666.730;69.625.864;104921;0.027971896955503516;173;46;68;83;92;129;http://ecx.images-amazon.com/images/I/61t5YIw38yL.jpg;Pioneer Christmas, A: Celebrating in the Backwoods in 1841;Barbara Greenwood;828260.0;September 1, 2003;04.58
9;9;10;1934968625;0.62541646;8.802.920.675.490.820;6.597.661;68199;0.019610526315789474;254;253;251;28;130;96;http://ecx.images-amazon.com/images/I/51LgH5gVGtL.jpg;Word Problems (Kumon Math Workbooks Grade 3);Kumon Publishing;13842.0;June 1, 2009;04.57
